OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WGEN.BrgTmp1_10m_Avg,WGEN.,BrgTmp1_10m_Avg,Generator bearing temperature at the drive end,�C,Average,Double,10 minute tag
WGEN.BrgTmp1_10m_Max,WGEN.,BrgTmp1_10m_Max,Generator bearing temperature at the drive end,�C,Maximum,Double,10 minute tag
WGEN.BrgTmp1_10m_Min,WGEN.,BrgTmp1_10m_Min,Generator bearing temperature at the drive end,�C,Minimum,Double,10 minute tag
WGEN.BrgTmp1_10m_Std,WGEN.,BrgTmp1_10m_Std,Generator bearing temperature at the drive end,�C,Standard Deviation,Double,10 minute tag
WGEN.BrgTmp2,WGEN.,BrgTmp2,Generator bearing temperature at the non-drive end,�C,Live Value,Double,Live Value
WGEN.BrgTmp2_10m_Avg,WGEN.,BrgTmp2_10m_Avg,Generator bearing temperature at the non-drive end,�C,Average,Double,10 minute tag
WGEN.BrgTmp2_10m_Max,WGEN.,BrgTmp2_10m_Max,Generator bearing temperature at the non-drive end,�C,Maximum,Double,10 minute tag
WGEN.BrgTmp2_10m_Min,WGEN.,BrgTmp2_10m_Min,Generator bearing temperature at the non-drive end,�C,Minimum,Double,10 minute tag
WGEN.BrgTmp2_10m_Std,WGEN.,BrgTmp2_10m_Std,Generator bearing temperature at the non-drive end,�C,Standard Deviation,Double,10 minute tag
WGEN.CabTmp,WGEN.,CabTmp,Generator cable temperature,�C,Live Value,Double,Live Value
WGEN.CabTmp_10m_Avg,WGEN.,CabTmp_10m_Avg,Generator cable temperature,�C,Average,Double,10 minute tag
WGEN.CabTmp_10m_Max,WGEN.,CabTmp_10m_Max,Generator cable temperature,�C,Maximum,Double,10 minute tag
WGEN.CabTmp_10m_Min,WGEN.,CabTmp_10m_Min,Generator cable temperature,�C,Minimum,Double,10 minute tag
WGEN.CabTmp_10m_Std,WGEN.,CabTmp_10m_Std,Generator cable temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.ClAirTmp,WGEN.,ClAirTmp,Generator cooling air temperature,�C,Live Value,Double,Live Value
WGEN.ClAirTmp_10m_Avg,WGEN.,ClAirTmp_10m_Avg,Generator cooling air temperature,�C,Average,Double,10 minute tag
WGEN.ClAirTmp_10m_Max,WGEN.,ClAirTmp_10m_Max,Generator cooling air temperature,�C,Maximum,Double,10 minute tag
WGEN.ClAirTmp_10m_Min,WGEN.,ClAirTmp_10m_Min,Generator cooling air temperature,�C,Minimum,Double,10 minute tag
WGEN.ClAirTmp_10m_Std,WGEN.,ClAirTmp_10m_Std,Generator cooling air temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.ClSt,WGEN.,ClSt,Status of generator cooling system,Enum,Live Value,Long,Live Value
WGEN.ClWtrTmp,WGEN.,ClWtrTmp,Generator cooling water temperature,�C,Live Value,Double,Live Value
WGEN.ClWtrTmp_10m_Avg,WGEN.,ClWtrTmp_10m_Avg,Generator cooling water temperature,�C,Average,Double,10 minute tag
WGEN.ClWtrTmp_10m_Max,WGEN.,ClWtrTmp_10m_Max,Generator cooling water temperature,�C,Maximum,Double,10 minute tag
WGEN.ClWtrTmp_10m_Min,WGEN.,ClWtrTmp_10m_Min,Generator cooling water temperature,�C,Minimum,Double,10 minute tag
WGEN.ClWtrTmp_10m_Std,WGEN.,ClWtrTmp_10m_Std,Generator cooling water temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.DmdRotSpdStp,WGEN.,DmdRotSpdStp,Generator speed setpoint,RPM,Live Value,Double,Live Value
WGEN.DmdRotSpdStp_10m_Avg,WGEN.,DmdRotSpdStp_10m_Avg,Generator speed setpoint,RPM,Average,Double,10 minute tag
WGEN.DmdRotSpdStp_10m_Max,WGEN.,DmdRotSpdStp_10m_Max,Generator speed setpoint,RPM,Maximum,Double,10 minute tag
WGEN.DmdRotSpdStp_10m_Min,WGEN.,DmdRotSpdStp_10m_Min,Generator speed setpoint,RPM,Minimum,Double,10 minute tag
WGEN.DmdRotSpdStp_10m_Std,WGEN.,DmdRotSpdStp_10m_Std,Generator speed setpoint,RPM,Standard Deviation,Double,10 minute tag
WGEN.DmdSttVArStp,WGEN.,DmdSttVArStp,Reactive power at generator stator setpoint,VAr,Live Value,Double,Live Value
WGEN.DmdSttVArStp_10m_Avg,WGEN.,DmdSttVArStp_10m_Avg,Reactive power at generator stator setpoint,VAr,Average,Double,10 minute tag
WGEN.DmdSttVArStp_10m_Max,WGEN.,DmdSttVArStp_10m_Max,Reactive power at generator stator setpoint,VAr,Maximum,Double,10 minute tag
WGEN.DmdSttVArStp_10m_Min,WGEN.,DmdSttVArStp_10m_Min,Reactive power at generator stator setpoint,VAr,Minimum,Double,10 minute tag
WGEN.DmdSttVArStp_10m_Std,WGEN.,DmdSttVArStp_10m_Std,Reactive power at generator stator setpoint,VAr,Standard Deviation,Double,10 minute tag
WGEN.DmdSttWStp,WGEN.,DmdSttWStp,Active power at generator stator setpoint,W,Live Value,Double,Live Value
WGEN.DmdSttWStp_10m_Avg,WGEN.,DmdSttWStp_10m_Avg,Active power at generator stator setpoint,W,Average,Double,10 minute tag
WGEN.DmdSttWStp_10m_Max,WGEN.,DmdSttWStp_10m_Max,Active power at generator stator setpoint,W,Maximum,Double,10 minute tag
WGEN.DmdSttWStp_10m_Min,WGEN.,DmdSttWStp_10m_Min,Active power at generator stator setpoint,W,Minimum,Double,10 minute tag
WGEN.DmdSttWStp_10m_Std,WGEN.,DmdSttWStp_10m_Std,Active power at generator stator setpoint,W,Standard Deviation,Double,10 minute tag
WGEN.DrtOpTms,WGEN.,DrtOpTms,Operation time with derated active power setpoint,seconds,Total Counter,Long,Live Value
WGEN.DrtOpTms_10m_Sum,WGEN.,DrtOpTms_10m_Sum,Operation time with derated active power setpoint,seconds,Summation,Long,10 minute tag
WGEN.Gn1Gn2Cnt,WGEN.,Gn1Gn2Cnt,Number of activations of G -> g,Count,Total Counter,Long,Live Value
WGEN.Gn1Gn2Cnt_10m_End,WGEN.,Gn1Gn2Cnt_10m_End,Number of activations of G -> g,Count,Total Counter,Long,10 minute tag
WGEN.Gn2Gn1Cnt,WGEN.,Gn2Gn1Cnt,Number of activations of g -> G,Count,Total Counter,Long,Live Value
WGEN.Gn2Gn1Cnt_10m_End,WGEN.,Gn2Gn1Cnt_10m_End,Number of activations of g -> G,Count,Total Counter,Long,10 minute tag
WGEN.GnOpSt,WGEN.,GnOpSt,Status of generator,Enum,Live Value,Long,Live Value
WGEN.GnOpSt_10m,WGEN.,GnOpSt_10m,Generator cut-in  (will be TRUE (1) if a generator is connected the whole 10 minute period),Enum,Endvalue,Long,10 minute tag
WGEN.GnOpStStr,WGEN.,GnOpStStr,Status of generator text,String,Live Value,String,Live Value
WGEN.GriA,WGEN.,GriA,Generator current,A,Live Value,Double,Live Value
WGEN.GriA_10m_Avg,WGEN.,GriA_10m_Avg,Generator current,A,Average,Double,10 minute tag
WGEN.GriA_10m_Max,WGEN.,GriA_10m_Max,Generator current,A,Maximum,Double,10 minute tag
WGEN.GriA_10m_Min,WGEN.,GriA_10m_Min,Generator current,A,Minimum,Double,10 minute tag
WGEN.GriA_10m_Std,WGEN.,GriA_10m_Std,Generator current,A,Standard Deviation,Double,10 minute tag
WGEN.GsLev,WGEN.,GsLev,Grease level in the generator bearing lubrication tank,percent,Live Value,Double,Live Value
WGEN.GsLev_10m_Avg,WGEN.,GsLev_10m_Avg,Grease level in the generator bearing lubrication tank,percent,Average,Double,10 minute tag
WGEN.GsLev_10m_Max,WGEN.,GsLev_10m_Max,Grease level in the generator bearing lubrication tank,percent,Maximum,Double,10 minute tag
WGEN.GsLev_10m_Min,WGEN.,GsLev_10m_Min,Grease level in the generator bearing lubrication tank,percent,Minimum,Double,10 minute tag
WGEN.GsLev_10m_Std,WGEN.,GsLev_10m_Std,Grease level in the generator bearing lubrication tank,percent,Standard Deviation,Double,10 minute tag
WGEN.HtCnt,WGEN.,HtCnt,Number of activations of generator heater,Count,Total Counter,Long,Live Value
WGEN.HtCnt_10m_End,WGEN.,HtCnt_10m_End,Number of activations of generator heater,Count,Total Counter,Long,10 minute tag
WGEN.HtTms,WGEN.,HtTms,Time the generator heater has been activated,seconds,Total Counter,Long,Live Value
WGEN.HtTms_10m_End,WGEN.,HtTms_10m_End,Time the generator heater has been activated,seconds,Total Counter,Long,10 minute tag
WGEN.InLetTmp,WGEN.,InLetTmp,Generator Water inlet temperature,Degrees,Live Value,Double,Live Value
WGEN.InLetTmp_10m_Avg,WGEN.,InLetTmp_10m_Avg,Generator Water inlet temperature,Degrees,Average,Double,10 minute tag
WGEN.InLetTmp_10m_Max,WGEN.,InLetTmp_10m_Max,Generator Water inlet temperature,Degrees,Maximum,Double,10 minute tag
WGEN.InLetTmp_10m_Min,WGEN.,InLetTmp_10m_Min,Generator Water inlet temperature,Degrees,Minimum,Double,10 minute tag
WGEN.InLetTmp_10m_Std,WGEN.,InLetTmp_10m_Std,Generator Water inlet temperature,Degrees,Standard Deviation,Double,10 minute tag
WGEN.OpTms,WGEN.,OpTms,Time with generator cut-in in,seconds,Total Counter,Long,Live Value
WGEN.OpTms_10m_End,WGEN.,OpTms_10m_End,Time with generator cut-in in,seconds,Total Counter,Long,10 minute tag
WGEN.OpTms_10m_Sum,WGEN.,OpTms_10m_Sum,Time with generator cut-in in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WGEN.OpTms_Dly_Sum,WGEN.,OpTms_Dly_Sum,Time with generator cut-in in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WGEN.OpTms_Mly_Sum,WGEN.,OpTms_Mly_Sum,Time with generator cut-in in each Monthly period,seconds,Summation,Long,Monthly tag
WGEN.OpTmsRs,WGEN.,OpTmsRs,Generator operation time in seconds (vendor specific),seconds,Total Counter,Long,Live Value
WGEN.OutLetTmp,WGEN.,OutLetTmp,Generator Water outlet temperature,Degrees,Live Value,Double,Live Value
WGEN.OutLetTmp_10m_Avg,WGEN.,OutLetTmp_10m_Avg,Generator Water outlet temperature,Degrees,Average,Double,10 minute tag
WGEN.OutLetTmp_10m_Max,WGEN.,OutLetTmp_10m_Max,Generator Water outlet temperature,Degrees,Maximum,Double,10 minute tag
WGEN.OutLetTmp_10m_Min,WGEN.,OutLetTmp_10m_Min,Generator Water outlet temperature,Degrees,Minimum,Double,10 minute tag
WGEN.OutLetTmp_10m_Std,WGEN.,OutLetTmp_10m_Std,Generator Water outlet temperature,Degrees,Standard Deviation,Double,10 minute tag
WGEN.RotA,WGEN.,RotA,Generator rotor 3 phase current,A,Live Value,Double,Live Value
WGEN.RotA_10m_Avg,WGEN.,RotA_10m_Avg,Generator rotor 3 phase current,A,Average,Double,10 minute tag
WGEN.RotA_10m_Max,WGEN.,RotA_10m_Max,Generator rotor 3 phase current,A,Maximum,Double,10 minute tag
WGEN.RotA_10m_Min,WGEN.,RotA_10m_Min,Generator rotor 3 phase current,A,Minimum,Double,10 minute tag
WGEN.RotA_10m_Std,WGEN.,RotA_10m_Std,Generator rotor 3 phase current,A,Standard Deviation,Double,10 minute tag
WGEN.RotExtAC,WGEN.,RotExtAC,Generator rotor alternating current excitation,A,Live Value,Double,Live Value
WGEN.RotExtDC,WGEN.,RotExtDC,Generator rotor direct current excitation,A,Live Value,Double,Live Value
WGEN.RotExtHtSnkTmp,WGEN.,RotExtHtSnkTmp,Temperature excitation heat sink,�C,Live Value,Double,Live Value
WGEN.RotExtHtSnkTmp_10m_Avg,WGEN.,RotExtHtSnkTmp_10m_Avg,Temperature excitation heat sink,�C,Average,Double,10 minute tag
WGEN.RotExtPnlTmp,WGEN.,RotExtPnlTmp,Temperature excitation control cabinet,�C,Live Value,Double,Live Value
WGEN.RotExtPnlTmp_10m_Avg,WGEN.,RotExtPnlTmp_10m_Avg,Temperature excitation control cabinet,�C,Average,Double,10 minute tag
WGEN.RotPNV,WGEN.,RotPNV,Generator rotor 3 phase-to-neutral voltage,V,Live Value,Double,Live Value
WGEN.RotPPV,WGEN.,RotPPV,Generator rotor 3 phase phase-to-phase voltage,V,Live Value,Double,Live Value
WGEN.RotSpd,WGEN.,RotSpd,Generator rotation speed,RPM,Live Value,Double,Live Value
WGEN.RotSpd_10m_Avg,WGEN.,RotSpd_10m_Avg,Generator rotation speed,RPM,Average,Double,10 minute tag
WGEN.RotSpd_10m_Max,WGEN.,RotSpd_10m_Max,Generator rotation speed,RPM,Maximum,Double,10 minute tag
WGEN.RotSpd_10m_Min,WGEN.,RotSpd_10m_Min,Generator rotation speed,RPM,Minimum,Double,10 minute tag
WGEN.RotSpd_10m_Std,WGEN.,RotSpd_10m_Std,Generator rotation speed,RPM,Standard Deviation,Double,10 minute tag
WGEN.RotTmp,WGEN.,RotTmp,Generator rotor temperature,�C,Live Value,Double,Live Value
WGEN.RotTmp_10m_Avg,WGEN.,RotTmp_10m_Avg,Generator rotor temperature,�C,Average,Double,10 minute tag
WGEN.RotTmp_10m_Max,WGEN.,RotTmp_10m_Max,Generator rotor temperature,�C,Maximum,Double,10 minute tag
WGEN.RotTmp_10m_Min,WGEN.,RotTmp_10m_Min,Generator rotor temperature,�C,Minimum,Double,10 minute tag
WGEN.RotTmp_10m_Std,WGEN.,RotTmp_10m_Std,Generator rotor temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.RotTmp1,WGEN.,RotTmp1,Generator rotor temperature 1,�C,Live Value,Double,Live Value
WGEN.RotTmp1_10m_Avg,WGEN.,RotTmp1_10m_Avg,Generator rotor temperature 1,�C,Average,Double,10 minute tag
WGEN.RotTmp2,WGEN.,RotTmp2,Generator rotor temperature 2,�C,Live Value,Double,Live Value
WGEN.RotTmp2_10m_Avg,WGEN.,RotTmp2_10m_Avg,Generator rotor temperature 2,�C,Average,Double,10 minute tag
WGEN.SlpRngTmp,WGEN.,SlpRngTmp,Temperature of the generator  slipring between rotor and stator,�C,Live Value,Double,Live Value
WGEN.SlpRngTmp_10m_Avg,WGEN.,SlpRngTmp_10m_Avg,Temperature of the generator  slipring between rotor and stator,�C,Average,Double,10 minute tag
WGEN.SlpRngTmp_10m_Max,WGEN.,SlpRngTmp_10m_Max,Temperature of the generator  slipring between rotor and stator,�C,Maximum,Double,10 minute tag
WGEN.SlpRngTmp_10m_Min,WGEN.,SlpRngTmp_10m_Min,Temperature of the generator  slipring between rotor and stator,�C,Minimum,Double,10 minute tag
WGEN.SlpRngTmp_10m_Std,WGEN.,SlpRngTmp_10m_Std,Temperature of the generator  slipring between rotor and stator,�C,Standard Deviation,Double,10 minute tag
WGEN.SttA,WGEN.,SttA,Generator stator current,A,Live Value,Double,Live Value
WGEN.SttA_10m_Avg,WGEN.,SttA_10m_Avg,Generator stator current,A,Average,Double,10 minute tag
WGEN.SttA_10m_Max,WGEN.,SttA_10m_Max,Generator stator current,A,Maximum,Double,10 minute tag
WGEN.SttA_10m_Min,WGEN.,SttA_10m_Min,Generator stator current,A,Minimum,Double,10 minute tag
WGEN.SttA_10m_Std,WGEN.,SttA_10m_Std,Generator stator current,A,Standard Deviation,Double,10 minute tag
WGEN.SttPNV,WGEN.,SttPNV,Generator Stator phase to neutral voltage,V,Live Value,Double,Live Value
WGEN.SttPNV_10m_Avg,WGEN.,SttPNV_10m_Avg,Generator Stator phase to neutral voltage,V,Average,Double,10 minute tag
WGEN.SttPNV_10m_Max,WGEN.,SttPNV_10m_Max,Generator Stator phase to neutral voltage,V,Maximum,Double,10 minute tag
WGEN.SttPNV_10m_Min,WGEN.,SttPNV_10m_Min,Generator Stator phase to neutral voltage,V,Minimum,Double,10 minute tag
WGEN.SttPNV_10m_Std,WGEN.,SttPNV_10m_Std,Generator Stator phase to neutral voltage,V,Standard Deviation,Double,10 minute tag
WGEN.SttPPV,WGEN.,SttPPV,Generator stator 3 phase phase-to-phase voltage,V,,Double,
WGEN.SttTmp,WGEN.,SttTmp,Generator stator temperature,�C,Live Value,Double,Live Value
WGEN.SttTmp_10m_Avg,WGEN.,SttTmp_10m_Avg,Generator stator temperature,�C,Average,Double,10 minute tag
WGEN.SttTmp_10m_Max,WGEN.,SttTmp_10m_Max,Generator stator temperature,�C,Maximum,Double,10 minute tag
WGEN.SttTmp_10m_Min,WGEN.,SttTmp_10m_Min,Generator stator temperature,�C,Minimum,Double,10 minute tag
WGEN.SttTmp_10m_Std,WGEN.,SttTmp_10m_Std,Generator stator temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.SttTmp1,WGEN.,SttTmp1,Generator stator phase L1 temperature,�C,Live Value,Double,Live Value
WGEN.SttTmp1_10m_Avg,WGEN.,SttTmp1_10m_Avg,Generator stator phase L1 temperature,�C,Average,Double,10 minute tag
WGEN.SttTmp1_10m_Max,WGEN.,SttTmp1_10m_Max,Generator stator phase L1 temperature,�C,Maximum,Double,10 minute tag
WGEN.SttTmp1_10m_Min,WGEN.,SttTmp1_10m_Min,Generator stator phase L1 temperature,�C,Minimum,Double,10 minute tag
WGEN.SttTmp1_10m_Std,WGEN.,SttTmp1_10m_Std,Generator stator phase L1 temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.SttTmp2,WGEN.,SttTmp2,Generator stator phase L2 temperature,�C,Live Value,Double,Live Value
WGEN.SttTmp2_10m_Avg,WGEN.,SttTmp2_10m_Avg,Generator stator phase L2 temperature,�C,Average,Double,10 minute tag
WGEN.SttTmp2_10m_Max,WGEN.,SttTmp2_10m_Max,Generator stator phase L2 temperature,�C,Maximum,Double,10 minute tag
WGEN.SttTmp2_10m_Min,WGEN.,SttTmp2_10m_Min,Generator stator phase L2 temperature,�C,Minimum,Double,10 minute tag
WGEN.SttTmp2_10m_Std,WGEN.,SttTmp2_10m_Std,Generator stator phase L2 temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.SttTmp3,WGEN.,SttTmp3,Generator stator phase L3 temperature,�C,Live Value,Double,Live Value
WGEN.SttTmp3_10m_Avg,WGEN.,SttTmp3_10m_Avg,Generator stator phase L3 temperature,�C,Average,Double,10 minute tag
WGEN.SttTmp3_10m_Max,WGEN.,SttTmp3_10m_Max,Generator stator phase L3 temperature,�C,Maximum,Double,10 minute tag
WGEN.SttTmp3_10m_Min,WGEN.,SttTmp3_10m_Min,Generator stator phase L3 temperature,�C,Minimum,Double,10 minute tag
WGEN.SttTmp3_10m_Std,WGEN.,SttTmp3_10m_Std,Generator stator phase L3 temperature,�C,Standard Deviation,Double,10 minute tag
WGEN.SttVAr,WGEN.,SttVAr,Reactive power at generator stator,VAr,Live Value,Double,Live Value
WGEN.SttVAr_10m_Avg,WGEN.,SttVAr_10m_Avg,Reactive power at generator stator,VAr,Average,Double,10 minute tag
WGEN.SttVAr_10m_Max,WGEN.,SttVAr_10m_Max,Reactive power at generator stator,VAr,Maximum,Double,10 minute tag
WGEN.SttVAr_10m_Min,WGEN.,SttVAr_10m_Min,Reactive power at generator stator,VAr,Minimum,Double,10 minute tag
WGEN.SttVAr_10m_Std,WGEN.,SttVAr_10m_Std,Reactive power at generator stator,VAr,Standard Deviation,Double,10 minute tag
WGEN.SttW,WGEN.,SttW,Active power at generator stator,W,Live Value,Double,Live Value
WGEN.SttW_10m_Avg,WGEN.,SttW_10m_Avg,Active power at generator stator,W,Average,Double,10 minute tag
WGEN.SttW_10m_Max,WGEN.,SttW_10m_Max,Active power at generator stator,W,Maximum,Double,10 minute tag
WGEN.SttW_10m_Min,WGEN.,SttW_10m_Min,Active power at generator stator,W,Minimum,Double,10 minute tag
WGEN.SttW_10m_Std,WGEN.,SttW_10m_Std,Active power at generator stator,W,Standard Deviation,Double,10 minute tag
WGEN.VAr,WGEN.,VAr,Reactive power at generator,VAr,Live Value,Double,Live Value
WGEN.VAr_10m_Avg,WGEN.,VAr_10m_Avg,Reactive power at generator,VAr,Average,Double,10 minute tag
WGEN.VAr_10m_Max,WGEN.,VAr_10m_Max,Reactive power at generator,VAr,Maximum,Double,10 minute tag
WGEN.VAr_10m_Min,WGEN.,VAr_10m_Min,Reactive power at generator,VAr,Minimum,Double,10 minute tag
WGEN.VAr_10m_Std,WGEN.,VAr_10m_Std,Reactive power at generator,VAr,Standard Deviation,Double,10 minute tag
WGEN.W,WGEN.,W,Active power at generator,W,Live Value,Double,Live Value
WGEN.W_10m_Avg,WGEN.,W_10m_Avg,Active power at generator,W,Average,Double,10 minute tag
WGEN.W_10m_Max,WGEN.,W_10m_Max,Active power at generator,W,Maximum,Double,10 minute tag
WGEN.W_10m_Min,WGEN.,W_10m_Min,Active power at generator,W,Minimum,Double,10 minute tag
WGEN.W_10m_Std,WGEN.,W_10m_Std,Active power at generator,W,Standard Deviation,Double,10 minute tag
WGEN.WtrPmpCnt_10m_End,WGEN.,WtrPmpCnt_10m_End,Number of activations of generator cooling water pump,Count,Total Counter,Long,10 minute tag
WGEN.WtrPmpTms_10m_End,WGEN.,WtrPmpTms_10m_End,Time generator cooling water pump has been activated,seconds,Total Counter,Long,10 minute tag
WGEN1.DmdVArh,WGEN1.,DmdVArh,Reactive energy consumed by generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.DmdVArh_10m_End,WGEN1.,DmdVArh_10m_End,Reactive energy consumed by generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.DmdVArh_10m_Sum,WGEN1.,DmdVArh_10m_Sum,Reactive energy consumed by generator G1,VArh,Summation,Double,10 minute tag
WGEN1.DmdVArh_Mly_Sum,WGEN1.,DmdVArh_Mly_Sum,Reactive energy consumed by generator G1,VArh,Summation,Double,Monthly tag
WGEN1.DmdWh,WGEN1.,DmdWh,Active (real) energy consumed by generator G1,Wh,Total Counter,Double,Live Value
WGEN1.DmdWh_10m_End,WGEN1.,DmdWh_10m_End,Active (real) energy consumed by generator G1,Wh,Total Counter,Double,10 minute tag
WGEN1.DmdWh_10m_Sum,WGEN1.,DmdWh_10m_Sum,Active (real) energy consumed by generator G1,Wh,Summation,Double,10 minute tag
WGEN1.DmdWh_Mly_Sum,WGEN1.,DmdWh_Mly_Sum,Active (real) energy consumed by generator G1,Wh,Summation,Double,Monthly tag
WGEN1.OpTms,WGEN1.,OpTms,"Time generator G1 production time i.e. time generator G1 has been producing power, or ready but low wind, used for real availability",seconds,Total Counter,Long,Live Value
WGEN1.OpTms_10m_End,WGEN1.,OpTms_10m_End,Time with generator G1 on grid,seconds,Total Counter,Long,10 minute tag
WGEN1.OpTms_10m_Sum,WGEN1.,OpTms_10m_Sum,Time with generator G1 on grid in each 10 minute period i.e. 0-600 seconds,seconds,Summation,Long,10 minute tag
WGEN1.OpTms_Dly_Sum,WGEN1.,OpTms_Dly_Sum,Time with generator G1 on grid in each Daily period i.e. 0-86400 seconds,seconds,Summation,Long,Daily tag
WGEN1.OpTms_Mly_Sum,WGEN1.,OpTms_Mly_Sum,Time with generator G1 on grid in each Monthly period,seconds,Summation,Long,Monthly tag
WGEN1.SttTmp,WGEN1.,SttTmp,Generator temperature  generator G1,�C,Live Value,Double,Live Value
WGEN1.SttTmp_10m_Avg,WGEN1.,SttTmp_10m_Avg,Generator temperature  generator G1,�C,Average,Double,10 minute tag
WGEN1.SttTmp_10m_Max,WGEN1.,SttTmp_10m_Max,Generator temperature  generator G1,�C,Maximum,Double,10 minute tag
WGEN1.SttTmp_10m_Min,WGEN1.,SttTmp_10m_Min,Generator temperature  generator G1,�C,Minimum,Double,10 minute tag
WGEN1.SttTmp_10m_Std,WGEN1.,SttTmp_10m_Std,Generator temperature  generator G1,�C,Standard Deviation,Double,10 minute tag
WGEN1.SttTmp1,WGEN1.,SttTmp1,Generator stator phase L1 temperature  generator G1,�C,Live Value,Double,Live Value
WGEN1.SttTmp1_10m_Avg,WGEN1.,SttTmp1_10m_Avg,Generator stator phase L1 temperature  generator G1,�C,Average,Double,10 minute tag
WGEN1.SttTmp1_10m_Max,WGEN1.,SttTmp1_10m_Max,Generator stator phase L1 temperature  generator G1,�C,Maximum,Double,10 minute tag
WGEN1.SttTmp1_10m_Min,WGEN1.,SttTmp1_10m_Min,Generator stator phase L1 temperature  generator G1,�C,Minimum,Double,10 minute tag
WGEN1.SttTmp1_10m_Std,WGEN1.,SttTmp1_10m_Std,Generator stator phase L1 temperature  generator G1,�C,Standard Deviation,Double,10 minute tag
WGEN1.SttTmp2,WGEN1.,SttTmp2,Generator stator phase L2 temperature  generator G1,�C,Live Value,Double,Live Value
WGEN1.SttTmp2_10m_Avg,WGEN1.,SttTmp2_10m_Avg,Generator stator phase L2 temperature  generator G1,�C,Average,Double,10 minute tag
WGEN1.SttTmp2_10m_Max,WGEN1.,SttTmp2_10m_Max,Generator stator phase L2 temperature  generator G1,�C,Maximum,Double,10 minute tag
WGEN1.SttTmp2_10m_Min,WGEN1.,SttTmp2_10m_Min,Generator stator phase L2 temperature  generator G1,�C,Minimum,Double,10 minute tag
WGEN1.SttTmp2_10m_Std,WGEN1.,SttTmp2_10m_Std,Generator stator phase L2 temperature  generator G1,�C,Standard Deviation,Double,10 minute tag
WGEN1.SttTmp3,WGEN1.,SttTmp3,Generator stator phase L3 temperature  generator G1,�C,Live Value,Double,Live Value
WGEN1.SttTmp3_10m_Avg,WGEN1.,SttTmp3_10m_Avg,Generator stator phase L3 temperature  generator G1,�C,Average,Double,10 minute tag
WGEN1.SttTmp3_10m_Max,WGEN1.,SttTmp3_10m_Max,Generator stator phase L3 temperature  generator G1,�C,Maximum,Double,10 minute tag
WGEN1.SttTmp3_10m_Min,WGEN1.,SttTmp3_10m_Min,Generator stator phase L3 temperature  generator G1,�C,Minimum,Double,10 minute tag
WGEN1.SttTmp3_10m_Std,WGEN1.,SttTmp3_10m_Std,Generator stator phase L3 temperature  generator G1,�C,Standard Deviation,Double,10 minute tag
WGEN1.SupVArh,WGEN1.,SupVArh,Reactive energy supply by generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.SupVArh_10m_End,WGEN1.,SupVArh_10m_End,Reactive energy supply by generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.SupVArh_10m_Sum,WGEN1.,SupVArh_10m_Sum,Reactive energy supply by generator G1,VArh,Summation,Double,10 minute tag
WGEN1.SupVArh_Mly_Sum,WGEN1.,SupVArh_Mly_Sum,Reactive energy supply by generator G1,VArh,Summation,Double,Monthly tag
WGEN1.SupWh,WGEN1.,SupWh,Active (real) energy supply by generator G1,Wh,Total Counter,Double,Live Value
WGEN1.SupWh_10m_End,WGEN1.,SupWh_10m_End,Active (real) energy supply by generator G1,Wh,Total Counter,Double,10 minute tag
WGEN1.SupWh_10m_Sum,WGEN1.,SupWh_10m_Sum,Active (real) energy supply by generator G1,Wh,Summation,Double,10 minute tag
WGEN1.SupWh_Mly_Sum,WGEN1.,SupWh_Mly_Sum,Active (real) energy supply by generator G1,Wh,Summation,Double,Monthly tag
WGEN1.TotVArh,WGEN1.,TotVArh,Total (net) reactive energy production generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.TotVArh_10m_End,WGEN1.,TotVArh_10m_End,Total (net) reactive energy production generator G1,VArh,Total Counter,Double,10 minute tag
WGEN1.TotVArh_10m_Sum,WGEN1.,TotVArh_10m_Sum,Total (net) reactive energy production generator G1,VArh,Summation,Double,10 minute tag
WGEN1.TotVArh_Mly_Sum,WGEN1.,TotVArh_Mly_Sum,Total (net) reactive energy production generator G1,VArh,Summation,Double,Monthly tag
WGEN1.TotWh,WGEN1.,TotWh,Total (net) active energy production i.e. produced-consumed energy G1,Wh,Total Counter,Double,Live Value
WGEN1.TotWh_10m_End,WGEN1.,TotWh_10m_End,Total (net) active energy production i.e. produced-consumed energy G1,Wh,Total Counter,Double,10 minute tag
WGEN1.TotWh_10m_Sum,WGEN1.,TotWh_10m_Sum,Total (net) active energy production i.e. produced-consumed energy G1,Wh,Summation,Double,10 minute tag
